ID,x,y,z,wire_direction_x,wire_direction_y,wire_direction_z,halflength,type,sector,layer,layer_lim,sector_lim,num_neighbors
216,18.1379,-19.2478,39.3,0.0438148,0.0252965,0.998719,69.8,2,18446744073709551615,18446744073709551615,0,0,0
217,19.016,-18.7408,39.3,0.0438148,0.0252965,0.998719,69.8,2,18446744073709551615,18446744073709551615,0,0,0
218,19.8942,-18.2338,39.3,0.0438148,0.0252965,0.998719,69.8,2,18446744073709551615,18446744073709551615,0,0,0
219,20.7723,-17.7268,39.3,0.0438148,0.0252965,0.998719,69.8,2,18446744073709551615,18446744073709551615,0,0,0
220,21.6505,-17.2198,39.3,0.0438148,0.0252965,0.998719,69.8,2,18446744073709551615,18446744073709551615,0,0,0
221,11.9909,-22.7968,39.3,0.0438148,0.0252965,0.998719,69.8,2,18446744073709551615,18446744073709551615,0,0,0
222,11.1127,-23.3038,39.3,0.0438148,0.0252965,0.998719,69.8,2,18446744073709551615,18446744073709551615,0,0,0
223,10.2346,-23.8108,39.3,0.0438148,0.0252965,0.998719,69.8,2,18446744073709551615,18446744073709551615,0,0,0
224,9.3564,-24.3178,39.3,0.0438148,0.0252965,0.998719,69.8,2,18446744073709551615,18446744073709551615,0,0,0
225,8.47825,-24.8248,39.3,0.0438148,0.0252965,0.998719,69.8,2,18446744073709551615,18446744073709551615,0,0,0
226,7.6001,-25.3318,39.3,0.0438148,0.0252965,0.998719,69.8,2,18446744073709551615,18446744073709551615,0,0,0
227,6.72195,-25.8388,39.3,0.0438148,0.0252965,0.998719,69.8,2,18446744073709551615,18446744073709551615,0,0,0
228,22.0537,-16.987,28.4741,0.0438148,0.0252965,0.998719,59.05,2,18446744073709551615,18446744073709551615,0,0,0
229,6.31874,-26.0716,50.1259,0.0438148,0.0252965,0.998719,59.05,2,18446744073709551615,18446744073709551615,0,0,0
230,22.4937,-16.7329,18.4869,0.0438148,0.0252965,0.998719,49.05,2,18446744073709551615,18446744073709551615,0,0,0
231,5.87874,-26.3256,60.1131,0.0438148,0.0252965,0.998719,49.05,2,18446744073709551615,18446744073709551615,0,0,0
232,22.9337,-16.4789,8.49973,0.0438148,0.0252965,0.998719,39.05,2,18446744073709551615,18446744073709551615,0,0,0
233,5.43874,-26.5796,70.1003,0.0438148,0.0252965,0.998719,39.05,2,18446744073709551615,18446744073709551615,0,0,0
234,23.3737,-16.2249,-1.48746,0.0438148,0.0252965,0.998719,29.05,2,18446744073709551615,18446744073709551615,0,0,0
235,4.99874,-26.8337,80.0875,0.0438148,0.0252965,0.998719,29.05,2,18446744073709551615,18446744073709551615,0,0,0
236,23.8137,-15.9708,-11.4747,0.0438148,0.0252965,0.998719,19.05,2,18446744073709551615,18446744073709551615,0,0,0
237,4.55874,-27.0877,90.0747,0.0438148,0.0252965,0.998719,19.05,2,18446744073709551615,18446744073709551615,0,0,0
238,24.2537,-15.7168,-21.4618,0.0438148,0.0252965,0.998719,9.05,2,18446744073709551615,18446744073709551615,0,0,0
239,4.11873,-27.3417,100.062,0.0438148,0.0252965,0.998719,9.05,2,18446744073709551615,18446744073709551615,0,0,0
240,13.7471,-22.7966,39.3,0.0438148,0.0252965,0.998719,69.8,2,18446744073709551615,18446744073709551615,0,0,0
241,14.6252,-22.2896,39.3,0.0438148,0.0252965,0.998719,69.8,2,18446744073709551615,18446744073709551615,0,0,0
242,15.5034,-21.7826,39.3,0.0438148,0.0252965,0.998719,69.8,2,18446744073709551615,18446744073709551615,0,0,0
243,16.3815,-21.2756,39.3,0.0438148,0.0252965,0.998719,69.8,2,18446744073709551615,18446744073709551615,0,0,0
